Genus	Species	Marker	Sequence_Count
Arctium	lappa	matK.txt	12
Arctium	lappa	rbcL.txt	12
Arctium	minus	matK.txt	16
Arctium	minus	psbA-trnH.txt	4
Arctium	minus	rbcL.txt	15
Arctium	tomentosum	matK.txt	9
Arctium	tomentosum	rbcL.txt	4
Arctophila	fulva	matK.txt	13
Arctophila	fulva	rbcL.txt	12
Arenaria	ciliata	rps16.txt	6
Arenaria	erinacea	trnL-trnF.txt	4
Arenaria	humifusa	matK.txt	4
Arenaria	humifusa	rbcL.txt	5
Arenaria	humifusa	rps16.txt	13
Arenaria	norvegica	matK.txt	4
Arenaria	norvegica	rbcL.txt	5
Arenaria	serpyllifolia	matK.txt	13
Arenaria	serpyllifolia	psbA-trnH.txt	6
Arenaria	serpyllifolia	rbcL.txt	16
Arenaria	tetraquetra	trnL-trnF.txt	7
Aria	edulis	matK.txt	4
Aria	edulis	rbcL.txt	8
Aria	edulis	trnL-trnF.txt	17
Aria	rupicola	matK.txt	6
Aria	rupicola	rbcL.txt	5
Arisarum	vulgare	matK.txt	6
Arisarum	vulgare	rbcL.txt	6
Arisarum	vulgare	rps16.txt	4
Arisarum	vulgare	trnL-trnF.txt	4
Aristida	adscensionis	matK.txt	7
Aristida	adscensionis	rbcL.txt	7
Aristida	adscensionis	rpl16.txt	12
Aristida	adscensionis	trnL-trnF.txt	15
Aristolochia	lutea	matK.txt	30
Aristolochia	lutea	trnK.txt	27
Aristolochia	microstoma	matK.txt	8
Aristolochia	microstoma	trnK.txt	8
Aristolochia	nardiana	matK.txt	8
Aristolochia	nardiana	trnK.txt	8
Aristolochia	pallida	matK.txt	25
Aristolochia	pallida	trnK.txt	25
Armeria	filicaulis	trnL-trnF.txt	31
Armeria	gaditana	trnL-trnF.txt	4
Armeria	hirta	matK.txt	4
Armeria	hirta	trnK.txt	4
Armeria	hirta	trnL-trnF.txt	6
Armeria	leucocephala	28SrRNA.txt	12
Armeria	leucocephala	5.8SrRNA.txt	12
Armeria	leucocephala	ITS.txt	12
Armeria	leucocephala	ITS1.txt	12
Armeria	leucocephala	ITS2.txt	12
Armeria	leucocephala	psbA-trnH.txt	12
Armeria	leucocephala	rps16.txt	12
Armeria	leucocephala	trnL-trnF.txt	12
Armeria	macrophylla	matK.txt	4
Armeria	macrophylla	trnK.txt	4
Armeria	macrophylla	trnL-trnF.txt	7
Armeria	maritima	matK.txt	7
Armeria	maritima	rbcL.txt	6
Armeria	multiceps	28SrRNA.txt	6
Armeria	multiceps	5.8SrRNA.txt	6
Armeria	multiceps	ITS.txt	6
Armeria	multiceps	ITS1.txt	6
Armeria	multiceps	ITS2.txt	6
Armeria	multiceps	psbA-trnH.txt	6
Armeria	multiceps	rps16.txt	6
Armeria	multiceps	trnL-trnF.txt	6
Armeria	pubigera	matK.txt	4
Armeria	pubigera	trnK.txt	4
Armeria	pungens	28SrRNA.txt	6
Armeria	pungens	5.8SrRNA.txt	6
Armeria	pungens	ITS.txt	6
Armeria	pungens	ITS1.txt	6
Armeria	pungens	ITS2.txt	6
Armeria	pungens	matK.txt	115
Armeria	pungens	psbA-trnH.txt	6
Armeria	pungens	rps16.txt	6
Armeria	pungens	trnK.txt	115
Armeria	pungens	trnL-trnF.txt	122
Armeria	rouyana	trnL-trnF.txt	4
Armeria	sardoa	28SrRNA.txt	15
Armeria	sardoa	5.8SrRNA.txt	15
Armeria	sardoa	ITS.txt	15
Armeria	sardoa	ITS1.txt	15
Armeria	sardoa	ITS2.txt	15
Armeria	sardoa	psbA-trnH.txt	15
Armeria	sardoa	rps16.txt	15
Armeria	sardoa	trnL-trnF.txt	15
Armeria	splendens	trnL-trnF.txt	6
Armeria	sulcitana	28SrRNA.txt	6
Armeria	sulcitana	5.8SrRNA.txt	6
Armeria	sulcitana	ITS.txt	6
Armeria	sulcitana	ITS1.txt	6
Armeria	sulcitana	ITS2.txt	6
Armeria	sulcitana	psbA-trnH.txt	6
Armeria	sulcitana	rps16.txt	6
Armeria	sulcitana	trnL-trnF.txt	6
Armeria	villosa	trnL-trnF.txt	46
Armeria	welwitschii	ITS.txt	23
Armeria	welwitschii	matK.txt	8
Armeria	welwitschii	trnK.txt	8
Armeria	welwitschii	trnL-trnF.txt	8
Armoracia	rusticana	matK.txt	6
Armoracia	rusticana	rbcL.txt	5
